area_no,work_type,has_position,voy_id,planned_qty
10,OZ,1,453334,6
10,OZ,1,453400,16
11,OZ,1,453334,5
11,OZ,1,453400,12
12,OZ,1,453334,4
12,OZ,1,453400,11
13,T,1,453334,2
13,T,1,453400,1
14,T,1,453334,4
14,T,1,453400,5
16,T,1,453334,1
19,OF,1,453334,112
1K,OF,1,453334,11
21,OZ,1,453334,2
22,T,1,453334,5
22,T,1,453400,1
23,T,1,453334,9
23,T,1,453400,12
24,T,1,453334,2
24,T,1,453400,1
26,T,1,453334,1
26,T,1,453400,5
27,T,1,453334,1
28,OF,1,453334,112
28,OF,1,453400,141
29,OF,1,453334,32
29,OF,1,453400,145
2A,OF,1,453400,124
30,OZ,1,453334,6
30,OZ,1,453400,3
31,OZ,1,453334,5
31,OZ,1,453400,2
32,T,1,453334,4
32,T,1,453400,1
33,T,1,453334,3
33,T,1,453400,12
38,OF,1,453334,60
38,OF,1,453400,65
39,OF,1,453334,54
39,OF,1,453400,144
41,OZ,1,453334,7
41,OZ,1,453400,8
42,T,1,453334,1
42,T,1,453400,3
43,T,1,453334,3
43,T,1,453400,8
45,T,1,453334,1
47,T,1,453334,1
49,OF,1,453334,163
49,OF,1,453400,137
4D,OF,1,453400,1
51,OZ,1,453334,4
51,OZ,1,453400,13
52,T,1,453886,1
53,T,1,453334,1
53,T,1,453400,1
54,T,1,453400,1
59,OF,1,453334,23
59,OF,1,453400,151
5A,OF,1,453400,74
60,OZ,1,453334,3
60,OZ,1,453400,5
61,OZ,1,453334,2
61,OZ,1,453400,18
62,T,1,453334,3
62,T,1,453400,11
63,T,1,453334,2
63,T,1,453400,15
65,T,1,453334,1
66,T,1,453400,4
69,OF,1,453334,78
69,OF,1,453400,140
6A,OF,1,453334,230
6C,OF,1,453400,62
70,OZ,1,453334,3
70,OZ,1,453400,4
71,OZ,1,453334,3
71,OZ,1,453400,7
72,T,1,453334,5
72,T,1,453400,6
73,T,1,453334,1
73,T,1,453400,12
74,T,1,453400,2
75,T,1,453400,1
76,T,1,453334,2
79,OF,1,453334,40
79,OF,1,453400,124
7A,OF,1,453400,124
7B,IF,1,453886,251
7G,IF,1,453886,222
7H,IF,1,453886,91
7H,IF,1,454063,1
80,OZ,1,453334,3
80,OZ,1,453400,8
81,OZ,1,453334,2
81,OZ,1,453400,10
82,T,1,453334,7
82,T,1,453400,8
83,T,1,453334,3
83,T,1,453400,8
84,T,1,453400,2
86,T,1,453400,1
89,OF,1,453400,164
8G,IF,1,453886,152
8H,IF,1,453886,178
93,T,1,453400,1
94,T,1,453334,1
94,T,1,453400,2
9C,OF,1,453400,1
9D,OF,1,453400,8
AC,OF,1,453400,3
AD,OF,1,453334,2
AD,OF,1,453400,1
E1,OF/OZ/IF/IZ/T,1,453334,5
E1,OF/OZ/IF/IZ/T,1,453400,18
E1,OF/OZ/IF/IZ/T,1,453886,179
E2,OF/OZ/IF/IZ/T,1,453334,8
E2,OF/OZ/IF/IZ/T,1,453400,28
E2,OF/OZ/IF/IZ/T,1,453886,182
E3,OF/OZ/IF/IZ/T,1,453334,4
E3,OF/OZ/IF/IZ/T,1,453400,17
E3,OF/OZ/IF/IZ/T,1,453886,232
E4,OF/OZ/IF/IZ/T,1,453334,4
E4,OF/OZ/IF/IZ/T,1,453400,27
E4,OF/OZ/IF/IZ/T,1,453886,125
E5,OF/OZ/IF/IZ/T,1,453334,10
E5,OF/OZ/IF/IZ/T,1,453400,6
E6,OF/OZ/IF/IZ/T,1,453400,3
E8,OF/OZ/IF/IZ/T,1,453334,2
E8,OF/OZ/IF/IZ/T,1,453400,8
E8,OF/OZ/IF/IZ/T,1,453886,300
E9,OF/OZ/IF/IZ/T,1,453334,1
E9,OF/OZ/IF/IZ/T,1,453400,28
E9,OF/OZ/IF/IZ/T,1,453886,300
EA,OF/OZ/IF/IZ/T,1,453334,7
EA,OF/OZ/IF/IZ/T,1,453400,20
EA,OF/OZ/IF/IZ/T,1,453886,300
EB,OF/OZ/IF/IZ/T,1,453334,1
EB,OF/OZ/IF/IZ/T,1,453400,14
EC,OF/OZ/IF/IZ/T,1,453334,5
EC,OF/OZ/IF/IZ/T,1,453400,24
